anime_id,title,tags
24,18if,waking up in a strange bedroom in a dream world teenager haruto tsukishiro finds a strange app on his phone when he activates the program an odd woman appears and tries to drag him to her realm luckily a mysterious white haired girl severs their connection and helps him escape revealing that the woman is a witch however their conversation is cut short as haruto enters the realm again he meets an anthropomorphic talking cat named katsumi kanzaki while the witch minions pursue them the white haired girl opens a door for them to escape after their ordeal haruto describes their savior which only he can see and katsumi the leading authority on dream world research realizes that she must be lily a being that resurfaces repeatedly across multiple dreamscapes hoping to leave the dream world through a blue door they enter the witch realm once again finding themselves in peril lily reveals the truth to haruto witches suffer from sleeping beauty syndrome a coma like sleep state induced by torment in their real world lives thus they cannot wake until they are defeated in the dream world after finally defeating the witch and locating the blue door haruto and katsumi say their farewells promising to meet up in the real world however when haruto exits through the door he awakens in the dream world bedroom once more seeking answers haruto and katsumi try to uncover the mysteries of the witches lily and haruto own inability to leave the dream world mystery supernatural gonzo
25,2.43: Seiin High School Boys Volleyball Team,junior high school student kimichika haijima moves back to his hometown fukui after causing trouble in the tokyo junior high school volleyball club there he is reunited with his childhood friend yuni kuroba who possesses outstanding physical abilities but is vulnerable under pressure haijima with his overwhelming passion and talent for volleyball forms an ace combination with kuroba the two enroll at seiin high school where they join the volleyball club awaiting them are the cm hot blooded captain shinichirou oda the talented and sharp tongued vice captain misao aoki and his third year pair and second year students including akito kanno who is always wearing long sleeves due to his allergy to sunlight the newborn team breaks its former shell of weakness and becomes fukui rising star this is a certain team journey to victory with a series of fascinating rivals standing in their way drama school sports sliceoflife davidproduction
26,22/7,miu takigawa views the world from behind the safety of her bangs content with peacefully passing unnoticed through life reserved and timid miu struggles to converse with or even smile at customers when at her part time job but she works tirelessly to support her mother and precious little sister haru it is a shock when a letter arrives from the entertainment company gip announcing that she has been chosen as a candidate for their new project miu decides to accept the invitation and heads to the meeting spot where the eccentric ensemble of other candidates filter in all summoned by their own letters not long after the girls are escorted by a manager to a luxurious secret facility where it is explained that they must follow the mysterious directions of the wall whose orders are absolute the th of december will see the birth of idols like no other on that day the group will debut whether or not miu and the other members are ready to take the stage music a-1pictures
27,March comes in like a lion,having reached professional status in middle school rei kiriyama is one of the few elite in the world of shogi due to this he faces an enormous amount of pressure both from the shogi community and his adoptive family seeking independence from his tense home life he moves into an apartment in tokyo as a year old living on his own rei tends to take poor care of himself and his reclusive personality ostracizes him from his peers in school and at the shogi hall however not long after his arrival in tokyo rei meets akari hinata and momo kawamoto a trio of sisters living with their grandfather who owns a traditional wagashi shop akari the oldest of the three girls is determined to combat rei loneliness and poorly sustained lifestyle with motherly hospitality the kawamoto sisters coping with past tragedies also share with rei a unique familial bond that he has lacked for most of his life as he struggles to maintain himself physically and mentally through his shogi career rei must learn how to interact with others and understand his own complex emotions drama game sliceoflife seinen shaft
28,March Comes In Like A Lion 2nd Season,now in his second year of high school rei kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life surrounded by vibrant personalities at the shogi hall the school club and in the local community his solitary shell slowly begins to crack among them are the three kawamoto sisters akari hinata and momo who forge an affectionate and familial bond with rei through these ties he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return nonetheless the life of a professional is not easy between tournaments championships and title matches the pressure mounts as rei advances through the ranks and encounters incredibly skilled opponents as he manages his relationships with those who have grown close to him the shogi player continues to search for the reason he plays the game that defines his career drama game sliceoflife seinen shaft
29,Marches Comes in Like a Lion: Special Omnibus Episode,recap of the first episodes of gatsu no lion drama shaft
30,The Glass Mask Year 3 Class D,the series re imagines the glass mask manga and its characters in a school gag comedy focused on satirizing modern society source ann comedy parody school dle
31,Real Girl,for hikari tsutsui life within the two dimensional realm is much simpler socially inept and awkward he immerses himself in video games and anime only to be relentlessly ridiculed and ostracized by his classmates sharing his misery is yuuto itou his only friend who wears cat ears and is equally obsessed with the world of games after being forced to clean the pool as punishment for arriving late tsutsui meets iroha igarashi but he attempts to steer clear of her as her notoriety precedes her brazenly blunt loathed by female classmates and infamous for messing around with boys tsutsui believes that getting involved with her would cause nothing but problems d kanojo real girl is a story revolving around these two outcasts a boy full of emotions he has never experienced before struggling to lay them bare and a girl who strives to break him out of his shell romance school shoujo hoodsentertainment
32,3D Kanojo: Real Girl 2nd Season,second season of d kanojo real girl romance school shoujo hoodsentertainment
33,3x3 Eyes,x eyes is the story of a young man named yakumo fuuji who through a strange series of events becomes the immortal slave of the last of a race of eyed demons the demon absorbs his soul to save his life making him immortal in the process now he begins a journey with the female demon in an attempt to find a way of becoming human of course there are many complications along the way not the least of which being that the demon is a female with a split personality one achingly cute and the other being no nonsense destructive power and the romances that develop between action demons fantasy horror romance toeianimation
34,3x3 Eyes: Legend of the Divine Demon,yakumo has trained and searched for years following pai mysterious disappearance however when he finally finds her not all is well as her memory seems to be gone they attempt to return her memory by going to the holy land birthplace of the immortal race of sanjiyans action adventure demons fantasy horror romance studiojunio
35,Four People and Their Respective Lies,what do an alien former ninja weak telepath and boy pretending to be a girl have in common they are all classmates at kashihara girls academy and they hide their true identities from the world rikka chiyo sekine and tsubasa seem like the best of friends but they each harbor a monumental secret that they cannot reveal no matter what in order to continue masquerading as normal middle school girls each of them must invent creative ways to conceal their true selves but that is easier said than done as the four students end up entangled in numerous shenanigans along the way comedy school superpower sliceoflife supernatural studioflad
36,The Quintessential Quintuplets,fuutarou uesugi is an ace high school student but leads an otherwise tough life his standoffish personality and reclusive nature have left him friendless and his father is debt ridden forcing his family to scrape by one day during his lunch break uesugi argues with a female transfer student who has claimed his seat leading both of them to dislike each other that same day he is presented with a golden opportunity to clear his family debt a private tutoring gig for a wealthy family daughter with a wage of five times the market price he accepts the proposal but is horrified to discover that the client itsuki nakano is the girl he confronted earlier after unsuccessfully trying to get back on itsuki good side uesugi finds out that his problems don end there itsuki is actually a quintuplet so in addition to her he must also tutor her sisters miku yotsuba nino and ichika who despite the very real threat of flunking want nothing to do with a tutor however his family livelihood is on the line so uesugi pushes on adamant in his resolve to rid the sisters of their detest for studying and successfully lead them to graduation comedy romance school shounen harem tezukaproductions
37,The Quintessential Quintuplets: The Movie,futaro has led five quintuplets to the point where they can graduate and pursue their own dreams now finally they had reached their final school festival having decided to make this occasion one to remember futaro searches for his feelings for the five quintuplets comedy romance school shounen harem biburyanimationstudios
38,The Quintessential Quintuplets 2,through their tutor fuutarou uesugi diligent guidance the nakano quintuplets academic performance shows signs of improvement even if their path to graduation is still rocky however as they continue to cause various situations that delay any actual tutoring fuutarou becomes increasingly involved with their personal lives further complicating their relationship with each other on another note fuutarou slowly begins to realize the existence of a possible connection between him and the past he believes to have shared with one of the five girls with everyone feelings beginning to develop and overlap will they be able to keep their bond strictly to that of a teacher and his students or will it mature into something else entirely comedy romance school shounen harem biburyanimationstudios
39,7 Seeds,imagine this you are living a normal day in your life maybe you are out with friends eating your family home cooked meal or spending time with your girlfriend when you next wake up you are suddenly thrust into a strange new world surrounded by five strangers on a rapidly sinking boat in the middle of a storm for natsu iwashimizu this is her new reality humanity has perished and all that remains of the japanese population are five groups of men and women who were chosen to be sent to the future in hopes of continuing mankind existence while every other person chosen has a useful talent such as martial arts knowledge or architecture natsu is a shy high school girl who cannot even raise her voice to shout the new world is dangerous beyond imagination and although natsu seems to lack helpful skills she must go with the others making their way to the seven fuji in order to survive adventure mystery drama romance sci-fi shoujo psychological gonzo
40,7 Seeds 2nd Season,second season of seeds adventure mystery drama romance sci-fi shoujo psychological gonzo
41,86,the republic of san magnolia for a long time this country has been besieged by its neighbor the giadian empire which created a series of unmanned drones called the legion after years of painstaking research the republic finally developed autonomous drones of their own turning the one sided struggle into a war without casualties or at least that what the government claims in truth there is no such thing as a bloodless war beyond the fortified walls protecting the eighty five republic territories lies the nonexistent eighty sixth sector the young men and women of this forsaken land are branded the eighty six and stripped of their humanity pilot the unmanned weapons into battle shinn directs the actions of a detachment of young eighty sixers while on the battlefield lena is a handler who commands the detachment from the remote rear with the help of special communication the farewell story of the severe and sad struggle of these two begins source mu yen press edited action drama mecha sci-fi military a-1pictures
42,86 EIGHTY-SIX Season 2 Recap,recap episode action drama sci-fi a-1pictures
43,86-Eighty Six- Special Edition - Coquelicots Blooming Across the Battlefield,i have a duty to see everything that happens no matter how much pain and sadness there is because i am spearhead handler recaps the story told in through the perspective of vladilena lena miliz the commander of shinei nouzen and the spearhead squadron action drama sci-fi a-1pictures
44,Eighty Six: 2nd Season,the republic of san magnolia has been at war with the empire of giad for nine years though it initially suffered devastating losses to the empire autonomous mechanized legions the republic has since developed its own autonomous units called juggernauts which are directed remotely by a handler while on the surface the public believes the war is being fought between machines in reality the juggernauts are being piloted by humans all of whom are the designation given to the colorata minority of san magnolia the originally had equal rights but were persecuted and scapegoated by the dominant alba race and the alba supremacist republic government to the point where colorata were both officially designated and popularly considered subhuman the were not permitted to have personal names and were immured in internment camps in the th district their namesake all the while being forced to fight in the republic war with the empire to receive better treatment major vladilena lena miliz an alba noble and military officer in the san magnolian military is an outspoken activist against the grave mistreatment of the nation colorata minority and the willful deception of the republic government to the general public she is assigned as the handler of the spearhead squadron of the eastern front an elite unit composed entirely of veterans who have earned names led by their squad leader shinei the undertaker nouzen the spearhead squadron is infamous among military officials its notoriety stems from the state in which its commanding officers are left handlers presiding over the squad have descended into insanity and some have gone as far as committing suicide lena an avowed sympathizer gets to know the spearhead squadron in her time as head of the contingent at same time lena and shinei learn a dark secret the republic and the war with the empire are not what they seem action drama sci-fi a-1pictures
45,91 Days,as a child living in the town of lawless angelo lagusa has witnessed a tragedy his parents and younger brother have been mercilessly slaughtered by the vanetti mafia family losing everything he holds dear he leaves both his name and hometown behind adopting the new identity of avilio bruno seven years later avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to lawless obliging he soon encounters the vanetti don son nero and seeks to befriend him using the skills he has quietly honed for years set during the prohibition era days tells the story of avilio dark bloodstained path to vengeance as he slowly ends each of the men involved in the killing of his family action drama historical shuka
46,91 Days: Brief Candle,recap of the first seven episodes of days series action drama historical shuka
47,91 Days: Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow,this episode contains three stories the first story toki no asase shoals of time will center on nero and vanno persuading frate to skip mass with them and see the circus the second story subete no kinou yesterday before everything will focus on ganzo as he meets a young man named vincente at a bar and asks ganzo to do something for him the third story ashita mata ashita tomorrow and then tomorrow is set after nero and avilio defeat mad mack and are on the way back to lawless nero suffers from fever dreams and avilio nurses him back to health source ann action drama historical shuka
48,A Day Before Us (Season Zero),a day before us is an animated korean drama of a special and sweet love story of the following four main characters yeo reum ha eun kim wook and yeon woo source anidb romance lico
49,Kite,after her parents were brutally murdered school girl sawa was taken into custody by akai and kanie a pair of detectives assigned to her case corrupt and immoral they train the girl to become a weapon dangling the promise of vengeance in front of the hapless orphan from celebrities and politicians to influential businessmen sawa is tasked with assassinating targets selected arbitrarily by her crooked overseers she executes every mission without fail and her distinctive weapon has become infamous among the city police officers physically abused by akai who is no more righteous than her victims sawa begins to dream of a life unhindered by the shadow of her guardians one day sawa meets oburi a fellow orphan and vigilante they quickly form a bond born of desperation and disgruntlement at the unjust world envisioning a future free from the stain of murder action drama police arms
50,A-Channel,tooru and run have been best friends forever so when tooru learns that she managed to get into the same high school as run she runs to tell her only to find run in a compromising position with yet another girl yuko needless to say that makes things a bit awkward at school with tooru fending off those who might be interested in run while yuko and their other girlfriend nagi have to deal with run own penchant for drama source sentai filmworks comedy school sliceoflife seinen studiogokumi
51,A-Channel: +A-Channel,extra specials from the dvd bds comedy school sliceoflife seinen studiogokumi
52,Project A-ko: Uncivil Wars,a ko and b ko are bounty hunters in an untamed world when a young heiress c ko falls out of the sky and into their hair they find themselves battling space pirates and galactic police turns out the high pitched hungry c ko holds a secret the spirit of an ancient evil and is the center of a plot to destroy the universe action adventure comedy romance sci-fi superpower studiofantasia
53,A.D. Police: To Protect and Serve,set a few years before bubblegum crisis tokyo a d police chronicles the tales of mega tokyo special police division designed to control rogue boomers in the city a d police officer kenji sasaki faces a major dilemma he loses another partner to a rabid boomer a day after he sent off duty he receives a new partner in the form of german cop hans kleif funny thing is that kenji sucker punched hans at a bar the night before not only does kenji face the everyday task of controlling boomers he has to learn to adjust with his new partner source ann action mecha sci-fi shounen plum
54,A.I.C.O.: Incarnation,in an incident known as the burst occurs at a japanese research facility giving birth to the rapidly expanding consuming and self replicating matter snaking its way through the remains of dams and military facilities in the kurobe gorge the hostile matter is besieged by task forces trying to prevent it from reaching the ocean and mercenaries seeking the truth behind its existence aiko tachibana lives under constant medical surveillance after being rescued from the matter she spends her days waiting out her recovery by making paper planes soon her daily life at school is disturbed by the arrival of transfer student yuuya kanzaki who proceeds to point out a number of inconsistencies regarding her body why is she never injured and why does she suddenly no longer need her wheelchair he claims that there is more to her existence than she has been led to believe and that she alone holds the key to ending the burst with many factions now interested in aiko she and yuuya must gather allies and embark on a dangerous pilgrimage into the heart of the infested gorge before the net can close around them to escape the conspiracy moving against them the pair must face off against the matter an enemy that flows like water action sci-fi bones
55,A3! Season Autumn & Winter,with the completion of the summer troupe show izumi tachibana must now recruit five members for the next sub troupe the autumn troupe luckily enough people arrive at the audition banri settsu a talented but boastful jack of all trades juuza hyoudou a stone faced delinquent passionate about acting taichi nanao a man wanting to impress girls through the stage omi fushimi a college student amateur photographer and adept cook and sakyou furuichi a yakuza member who shares a past connection with the mankai company but between the non existent teamwork and multiple threats jeopardizing the show success izumi realizes that the troupe might be more difficult to handle than she first thought how will she be able to unite them in time for their debut performance drama sliceoflife p.a.works
56,A3! Season Spring & Summer,home to countless street acts and performances veludo way attracts those interested in watching professional actors after receiving a mysterious letter izumi tachibana arrives at the venue where her father directed a once popular theater group mankai company but learns that the building is about to be repurposed due to excessive debt at the last minute she convinces the debt collector to give the ensemble one more chance he is willing to accept but on three conditions their debut show must be successfully produced by the following month the four all male sub troupes must be reinstated and the debt must be paid off within a year to top it off izumi herself must become the director with no time to lose izumi quickly gathers five people for the spring troupe sakuya sakuma an enthusiastic high school student masumi usui a boy infatuated with izumi tsuzuru minagi an aspiring playwright itaru chigasaki a mature office worker and citron a friendly foreigner though they have little or no experience in acting it up to izumi to train and prepare them for a performance that will restore mankai company to its former glory drama sliceoflife p.a.works
57,Ah! My Goddess (OVA),when college student keiichi morisato dials the wrong number while ordering for some food at his dormitory he accidentally gets connected to the goddess hotline and a beautiful goddess named belldandy appears out of a mirror in front of him after getting kicked out of the dorm keiichi and belldandy move to an old shrine and soon afterwards belldandy sisters urd and skuld move in comedy magic romance supernatural seinen aic
58,Ah! My Goddess,in a world where humans can have their wish granted via the goddess help hotline a human keiichi morisato summons the goddess belldandy by accident and jokes that she should stay with him forever unfortunately for him his wish is granted suddenly keiichi is now living with this gorgeous woman all alone causing him to be kicked out of the all male dormitory he was staying in but soon after they find lodging in a buddhist temple keiichi and belldandy relationship begins to blossom although they are both awkward and rather uncomfortable with one another at first what awaits these two strangers could turn out to be an unexpected romance comedy magic romance supernatural seinen aic
59,Ah! My Goddess: The Movie,for centuries a god named celestin has been imprisoned on the moon for betraying the kingdom of yggdrasil released by the fairy morgan le fey celestin travels to earth to reunite with his former pupil the goddess belldandy things go awry as celestin erases belldandy memories of her boyfriend keiichi and uses her as a catalyst to wreak havoc on earth and yggdrasil comedy magic romance supernatural seinen aic
60,Ah! My Goddess: Flights of Fancy,one year after goddess belldandy emerged from keiichi morisato mirror and promised to stay with him forever a new threat to their happiness emerges one that could end the contract between belldandy and keiichi comedy magic romance supernatural seinen aic
61,Rowdy Sumo Wrestler Matsutaro!!,matsutarou sakaguchi is a giant roughneck man with strength far beyond ordinary people he never uttered words like work hard strive and dream like the typical shounen manga protagonist however he is stronger than anyone and peerless in sumo wrestling his greatest weakness is his own carefree personality he grows into a full fledged sumo wrestler source ann sports seinen toeianimation
62,Magical☆Shopping Arcade Abenobashi,satoshi sasshi imamiya believes his life is in shambles as only a year old can having lost his card collection his childish dilemmas worsen when he learns that his childhood friend arumi asahina will be moving away suddenly their issues are dashed aside for the surreal and they find themselves transported away through bizarre worlds of science fiction magic and war any attempt to escape only catapults them into another alien land soon the two come to a realization every world is just a reimagining of their hometown but there are two unfamiliar faces the voluptuous mune mune and the elusive blue haired eutus and they just might be the key to escaping their predicament abenobashi mahou shoutengai follows sasshi and arumi comedic exploits as they desperately attempt to return home however when the pair unravel a tale spanning generations they begin to wonder if the cause of their situation is more personal than they thought is returning home truly what they desire comedy ecchi fantasy parody gainax
63,Absolute Duo,individuals who can materialize weapons from their soul are called blazers and they attend kouryou academy high school in order to harness their abilities each student is required to partner with another in the hopes that one day the pair can attain the power of absolute duo tooru kokonoe hopes to attend this academy in order to gain power after his sister and friends were slain by a mysterious man however at the opening ceremony he is forced to duel against the person sitting next to him with the loser being expelled as tooru prepares to give the match his all it is not a weapon that manifests from his soul but a shield an irregularity which catches the attention of a foreign student named julie sigtuna action ecchi romance school harem supernatural 8bit
64,ACCA: 13-Territory Inspection Dept.,acca a national body of the kingdom of dowa that provides public services to the citizens of the country was established as part of the peace settlement between the king of dowa and the states of the country during a revolt one hundred years later dowa is in a period of unprecedented peace due in part to the acca system however rumors of a coup d tat start to surface jean otus the second in command of the inspection department of acca is charged with inspecting all state branches what will he discover as he performs his audit intriguing and mysterious acca ku kansatsu ka is a politically themed mystery that reveals a world of diverse cultures and lifestyles with intricate connections between its characters as the truth of the coup d tat slowly unfolds mystery drama fantasy police seinen madhouse
65,Accel World,haruyuki arita is an overweight bullied middle schooler who finds solace in playing online games but his life takes a drastic turn one day when he finds that all his high scores have been topped by kuroyukihime the popular vice president of the student council she then invites him to the student lounge and introduces him to brain burst a program which allows the users to accelerate their brain waves to the point where time seems to stop brain burst also functions as an augmented reality fighting game and in order to get more points to accelerate users must win duels against other players however if a user loses all their points they will also lose access to brain burst forever kuroyukihime explains that she chose to show haruyuki the program because she needs his help she wants to meet the creator of brain burst and uncover the reason of why it was created but that easier said than done to do so she must defeat the six kings of pure color powerful faction leaders within the game and reach level the highest level attainable after the girl helps haruyuki overcome the bullies that torment him he vows to help her realize her goal and so begins the duo fight to reach the top action game romance school sci-fi sunrise
